,Address,Latitude,Longitude
0,666 Church Avenue Brooklyn New York 11218,40.6446230909091,-73.9748688585859
1,666 Church Avenue Brooklyn New York 11218,40.6446230909091,-73.9748688585859
2,666 Church Avenue Brooklyn New York 11218,40.6446230909091,-73.9748688585859
3,666 Church Avenue Brooklyn New York 11218,40.6446230909091,-73.9748688585859
4,666 Church Avenue Brooklyn New York 11218,40.6446230909091,-73.9748688585859
5,666 Church Avenue Brooklyn New York 11218,40.6446230909091,-73.9748688585859
6,666 Church Avenue Brooklyn New York 11218,40.6446230909091,-73.9748688585859
7,666 Church Avenue Brooklyn New York 11218,40.6446230909091,-73.9748688585859
8,666 Church Avenue Brooklyn New York 11218,40.6446230909091,-73.9748688585859
9,666 Church Avenue Brooklyn New York 11218,40.6446230909091,-73.9748688585859
10,666 Church Avenue Brooklyn New York 11218,40.6446230909091,-73.9748688585859
11,666 Church Avenue Brooklyn New York 11218,40.6446230909091,-73.9748688585859
12,666 Church Avenue Brooklyn New York 11218,40.6446230909091,-73.9748688585859
